Frame,Active_Players,Total_Detections,Jersey_Locked,Avg_Distance_Threshold
1,13,13,0,120.0
2,13,13,0,142.6
3,14,12,0,140.0
4,14,12,0,144.3
5,14,12,0,142.6
6,14,10,0,142.5
7,14,10,0,152.5
8,14,11,0,145.9
9,14,11,0,142.3
10,14,11,0,144.3
11,14,12,0,152.9
12,14,12,0,142.6
13,14,9,0,144.4
14,14,8,0,143.8
15,15,11,0,154.4
16,17,14,0,145.4
17,17,9,0,147.9
18,17,9,0,146.3
19,17,10,0,143.1
20,17,11,0,148.2
21,17,10,0,138.8
22,17,11,0,146.5
23,17,11,0,137.0
24,17,12,0,134.9
25,17,11,0,131.6
26,18,13,0,140.0
27,18,11,0,131.7
28,18,11,0,132.1
29,18,8,0,132.8
30,18,9,0,136.6
31,18,9,0,134.6
32,18,7,0,134.6
33,17,7,0,134.0
34,17,9,0,135.1
35,17,11,0,134.6
36,17,11,0,130.7
37,17,11,1,130.6
38,17,12,1,139.9
39,17,11,1,131.5
40,18,14,1,134.8
41,18,13,1,132.6
42,18,12,1,131.6
43,18,11,1,132.5
44,18,12,1,133.9
45,18,12,1,131.6
46,18,11,1,135.2
47,18,12,1,138.0
48,18,12,1,133.9
49,18,12,1,136.5
50,17,14,1,146.6
51,17,14,1,134.4
52,17,14,1,137.6
53,17,12,1,135.9
54,17,13,1,136.5
55,17,11,1,137.0
56,17,11,1,140.0
57,17,9,1,140.7
58,17,9,1,138.5
59,17,10,1,140.8
60,16,12,1,149.9
61,16,12,1,148.6
62,16,13,2,149.0
63,16,13,2,142.4
64,16,11,2,141.2
65,16,10,2,142.2
66,16,12,2,146.6
67,16,10,2,138.8
68,16,10,2,138.9
69,16,10,2,137.1
70,16,10,2,136.9
71,16,9,2,138.4
72,16,11,2,147.9
73,16,11,2,139.7
74,16,10,2,146.8
75,16,12,2,141.0
76,16,12,2,138.3
77,15,11,2,143.5
78,15,12,2,148.5
79,16,10,2,144.8
80,16,12,2,148.5
81,16,11,2,146.9
82,16,11,2,148.2
83,16,12,2,147.7
84,16,12,2,146.4
85,16,12,2,146.9
86,16,12,2,146.2
87,17,12,2,144.3
88,17,11,2,144.4
89,18,13,2,146.4
90,18,13,2,156.9
91,17,12,2,148.6
92,17,13,2,151.7
93,17,12,2,151.7
94,18,14,2,156.0
95,18,13,2,149.2
96,19,14,2,145.8
97,19,13,2,146.9
98,20,14,2,152.6
99,20,15,2,148.5
100,20,13,2,150.2
101,20,15,2,155.4
102,20,15,2,157.2
103,20,15,2,155.8
104,20,15,2,147.4
105,20,12,2,155.0
106,21,12,2,145.7
107,20,12,2,147.1
108,21,14,2,149.8
109,20,15,2,148.1
110,20,13,2,140.7
111,20,15,2,145.1
112,20,15,2,136.9
113,21,15,2,135.4
114,21,13,2,136.7
115,21,15,2,146.4
116,21,14,2,140.5
117,21,14,2,146.9
118,22,13,2,144.7
119,22,13,2,144.5
120,22,13,2,143.9
121,22,12,2,146.8
122,22,11,2,149.0
123,22,14,2,169.3
124,22,13,2,154.7
125,22,13,2,155.8
126,22,14,2,150.8
127,22,12,2,148.4
128,22,12,2,148.7
129,22,12,2,148.0
130,22,11,2,144.7
131,22,10,2,147.0
132,22,11,2,144.3
133,22,10,2,146.0
134,22,11,2,146.8
135,20,14,2,156.4
136,20,13,2,141.6
137,20,11,2,142.5
138,20,12,2,144.5
139,20,13,2,142.3
140,19,12,2,146.6
141,19,11,2,144.8
142,19,14,2,151.3
143,19,13,2,141.2
144,19,13,2,142.7
145,19,12,2,143.0
146,18,10,2,144.0
147,18,11,2,144.5
148,18,13,2,148.3
149,18,13,2,138.8
